[34mINFO:   [0m Using cached SIF image
(1, 1, 10, .9, 0)
(1, 1, 10, .95, 0)
(1, 1, 10, 1, 0)
(1, 1, 11, 0, 1)
(1, 1, 11, .05, 1)
(1, 1, 11, .1, 0)
(1, 1, 11, .15, 0)
(1, 1, 11, .2, 0)
(1, 1, 11, .25, 0)
(1, 1, 11, .3, 0)
(1, 1, 11, .35, 0)
(1, 1, 11, .4, 0)
(1, 1, 11, .45, 0)
(1, 1, 11, .5, 0)
(1, 1, 11, .55, 0)
(1, 1, 11, .6, 0)
(1, 1, 11, .65, 0)
(1, 1, 11, .7, 0)
(1, 1, 11, .75, 0)
(1, 1, 11, .8, 0)
(1, 1, 11, .85, 0)
(1, 1, 11, .9, 0)
(1, 1, 11, .95, 0)
(1, 1, 11, 1, 0)
(1, 2, 1, 0, 1)
(1, 2, 1, .05, 1)
(1, 2, 1, .1, .676183)
(1, 2, 1, .15, .676183)
(1, 2, 1, .2, .432757)
(1, 2, 1, .25, .432757)
(1, 2, 1, .3, .252442)
(1, 2, 1, .35, .252442)
(1, 2, 1, .4, .13148)
(1, 2, 1, .45, .13148)
(1, 2, 1, .5, .0540947)
(1, 2, 1, .55, .0150263)
(1, 2, 1, .6, .0150263)
(1, 2, 1, .65, 0)
(1, 2, 1, .7, 0)
(1, 2, 1, .75, 0)
(1, 2, 1, .8, 0)
(1, 2, 1, .85, 0)
(1, 2, 1, .9, 0)
(1, 2, 1, .95, 0)
(1, 2, 1, 1, 0)
(1, 2, 2, 0, 1)
(1, 2, 2, .05, 1)
(1, 2, 2, .1, .608565)
(1, 2, 2, .15, .608565)
(1, 2, 2, .2, .341848)
(1, 2, 2, .25, .341848)
(1, 2, 2, .3, .165289)
(1, 2, 2, .35, .165289)
(1, 2, 2, .4, .0653644)
(1, 2, 2, .45, .0653644)
(1, 2, 2, .5, .0150263)
(1, 2, 2, .55, .000751315)
(1, 2, 2, .6, .000751315)
(1, 2, 2, .65, 0)
(1, 2, 2, .7, 0)
(1, 2, 2, .75, 0)
(1, 2, 2, .8, 0)
(1, 2, 2, .85, 0)
(1, 2, 2, .9, 0)
(1, 2, 2, .95, 0)
(1, 2, 2, 1, 0)
(1, 2, 3, 0, 1)
(1, 2, 3, .05, 1)
(1, 2, 3, .1, .540947)
(1, 2, 3, .15, .540947)
(1, 2, 3, .2, .261458)
(1, 2, 3, .25, .261458)
(1, 2, 3, .3, .093163)
(1, 2, 3, .35, .093163)
(1, 2, 3, .4, .0210368)
(1, 2, 3, .45, .0210368)
(1, 2, 3, .5, 0)
(1, 2, 3, .55, 0)
(1, 2, 3, .6, 0)
(1, 2, 3, .65, 0)
(1, 2, 3, .7, 0)
(1, 2, 3, .75, 0)
(1, 2, 3, .8, 0)
(1, 2, 3, .85, 0)
(1, 2, 3, .9, 0)
(1, 2, 3, .95, 0)
(1, 2, 3, 1, 0)
(1, 2, 4, 0, 1)
(1, 2, 4, .05, 1)
(1, 2, 4, .1, .486852)
(1, 2, 4, .15, .486852)
(1, 2, 4, .2, .191585)
(1, 2, 4, .25, .191585)
(1, 2, 4, .3, .0450789)
(1, 2, 4, .35, .0450789)
(1, 2, 4, .4, .00225394)
(1, 2, 4, .45, .00225394)
(1, 2, 4, .5, 0)
(1, 2, 4, .55, 0)
(1, 2, 4, .6, 0)
(1, 2, 4, .65, 0)
(1, 2, 4, .7, 0)
(1, 2, 4, .75, 0)
(1, 2, 4, .8, 0)
(1, 2, 4, .85, 0)
(1, 2, 4, .9, 0)
(1, 2, 4, .95, 0)
(1, 2, 4, 1, 0)
(1, 2, 5, 0, 1)
(1, 2, 5, .05, 1)
(1, 2, 5, .1, .432757)
(1, 2, 5, .15, .432757)
(1, 2, 5, .2, .132231)
(1, 2, 5, .25, .132231)
(1, 2, 5, .3, .0150263)
(1, 2, 5, .35, .0150263)
(1, 2, 5, .4, 0)
(1, 2, 5, .45, 0)
(1, 2, 5, .5, 0)
(1, 2, 5, .55, 0)
(1, 2, 5, .6, 0)
(1, 2, 5, .65, 0)
(1, 2, 5, .7, 0)
(1, 2, 5, .75, 0)
(1, 2, 5, .8, 0)
(1, 2, 5, .85, 0)
(1, 2, 5, .9, 0)
(1, 2, 5, .95, 0)
(1, 2, 5, 1, 0)
(1, 2, 6, 0, 1)
(1, 2, 6, .05, 1)
(1, 2, 6, .1, .378663)
(1, 2, 6, .15, .378663)
(1, 2, 6, .2, .0841473)
(1, 2, 6, .25, .0841473)
(1, 2, 6, .3, 0)
(1, 2, 6, .35, 0)
(1, 2, 6, .4, 0)
(1, 2, 6, .45, 0)
(1, 2, 6, .5, 0)
(1, 2, 6, .55, 0)
(1, 2, 6, .6, 0)
(1, 2, 6, .65, 0)
(1, 2, 6, .7, 0)
(1, 2, 6, .75, 0)
(1, 2, 6, .8, 0)
(1, 2, 6, .85, 0)
(1, 2, 6, .9, 0)
(1, 2, 6, .95, 0)
(1, 2, 6, 1, 0)
